# Array shape: (5, 5, 6, 10)
#
#
# ========================== Block 1/10 ==========================
#
0.083071 -0.083366 -0.064759 -0.174207 -0.106513
0.067008 0.047242 0.066381 -0.086827 -0.043240
0.084720 -0.090972 -0.131841 -0.106563 0.146067
-0.198815 0.005792 0.019785 0.210599 0.182368
-0.005264 -0.044714 -0.187815 -0.166237 0.023450
# 2-D slice -> max_value: 0.210599, min_value:-0.198815 
#
# -------- Slice 6/6 --------
-0.057825 0.079552 -0.043322 -0.062944 -0.163989
0.025305 0.055800 0.056681 0.013844 -0.172190
0.086903 0.108957 0.091376 0.042072 0.111888
0.112855 -0.018364 0.161879 0.011392 -0.001899
0.107233 -0.114931 -0.020080 0.077958 0.004636
# 2-D slice -> max_value: 0.161879, min_value:-0.172190 
